Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,87080.63758625886,87080.63758625888,1.4551915228366852e-11,87080.63758625888,87080.63758625888
Upper Crust Depth,82408.90808443548,82408.90808443549,1.4551915228366852e-11,82408.90808443549,82408.90808443549
Middle Crust Depth,4255.167349582378,4255.167349582376,1.8189894035458565e-12,4255.167349582376,4255.167349582376
Lower Crust Depth,415.96303517939845,415.9630351793984,5.684341886080802e-14,415.9630351793984,415.9630351793984
Mantle Depth,0.5958170616113742,0.595817061611374,1.1102230246251565e-16,0.595817061611374,0.595817061611374
Sampled UCC,509878392.9750001,509964584.5000002,2740616.9772502095,504566185.1250001,515156148.25000024
Sampled MCC,778670921.0000001,778636500.0000002,1978921.0365143425,774824625.0000002,782720750.0000002
Sampled LCC,21887132.135,21884141.5,113309.31393897315,21679158.225,22103133.275
Sampled MNCC,130296666.49399994,130301452.99999991,2057185.5160118525,126368076.0999999,134105689.7499999
Upper Crust,7.996796308292409e+27,7.997724726492787e+27,4.942164670043606e+25,7.900508128165157e+27,8.089796596456504e+27
Middle Crust,7.674224409886998e+26,7.675477566668856e+26,7.423922076309935e+24,7.526446578670114e+26,7.813156425837419e+26
Lower Crust,2.245462154320126e+24,2.2465576115565452e+24,1.4362206650968121e+23,1.9565498390943782e+24,2.5366274552836655e+24
Mantle,4.879398903116147e+21,3.0133291804197834e+20,1.7079984215921745e+22,3.697336417692988e+19,8.817962489376882e+22
Total in Each Cell,8.766469090834332e+27,8.767542544268424e+27,5.009920241714351e+25,8.67043046285917e+27,8.859476873176131e+27
